facility_id,facility_name,state,lga,facility_type,ownership,latitude,longitude
FAC00001,Abia PHC 1,Abia,Abia East,PHC,Private,11.79691,10.162202
FAC00002,Abia PHC 2,Abia,Abia East,PHC,Public,12.661761,10.21338
FAC00003,Abia PHC 3,Abia,Abia South,PHC,Public,11.219988,14.262633
FAC00004,Abia PHC 4,Abia,Abia North,PHC,Private,7.042422,9.297077
FAC00005,Abia PHC 5,Abia,Abia East,PHC,Public,7.99861,3.559988
FAC00006,Abia General Hospital 6,Abia,Abia East,General Hospital,Public,7.82462,14.798771
FAC00007,Abia PHC 7,Abia,Abia Central,PHC,Private,8.504993,3.15918
FAC00008,Abia General Hospital 8,Abia,Abia South,General Hospital,Public,7.046138,4.172065
FAC00009,Abia PHC 9,Abia,Abia West,PHC,Public,8.951769,3.412662
FAC00010,Abia General Hospital 10,Abia,Abia West,General Hospital,Public,7.117111,9.240816
FAC00011,Abia PHC 11,Abia,Abia South,PHC,Public,11.751328,14.273987
FAC00012,Abia General Hospital 12,Abia,Abia West,General Hospital,Public,4.452273,6.903964
FAC00013,Abia PHC 13,Abia,Abia Central,PHC,Public,9.867512,14.583064
FAC00014,Abia PHC 14,Abia,Abia Central,PHC,Public,12.02197,3.894608
FAC00015,Abia General Hospital 15,Abia,Abia West,General Hospital,Public,6.934882,3.168958
FAC00016,Abia PHC 16,Abia,Abia East,PHC,Public,11.712703,3.888536
FAC00017,Abia PHC 17,Abia,Abia North,PHC,Public,10.232981,6.970776
FAC00018,Abia PHC 18,Abia,Abia Central,PHC,Public,11.296062,10.65069
FAC00019,Abia General Hospital 19,Abia,Abia Central,General Hospital,Public,13.717121,13.186966
FAC00020,Abia PHC 20,Abia,Abia East,PHC,Public,9.227328,8.130492
FAC00021,Abia PHC 21,Abia,Abia North,PHC,Public,7.14356,9.102848
FAC00022,Abia General Hospital 22,Abia,Abia Central,General Hospital,Public,9.398411,5.436735
FAC00023,Abia General Hospital 23,Abia,Abia East,General Hospital,Public,5.612213,14.156372
FAC00024,Abia General Hospital 24,Abia,Abia West,General Hospital,Public,12.036721,5.238841
FAC00025,Abia General Hospital 25,Abia,Abia South,General Hospital,Public,5.22088,7.275574
FAC00026,Abia General Hospital 26,Abia,Abia East,General Hospital,Public,8.271078,12.816177
FAC00027,Abia General Hospital 27,Abia,Abia East,General Hospital,Public,8.17411,5.665294
