facility_id,period,opd_visits,anc1_first_visit,anc4_visits,facility_deliveries,bcg_doses,penta1_doses,penta3_doses,measles1_doses,fully_immunized_under1,vaccine_stockout_days,eligible_under1_population,submission_date
FAC00001,2024-01,6647.0,395.0,189.0,105.0,103.0,72.0,22.0,18.0,14.0,3,361,2024-02-19
FAC00001,2024-02,7532.0,448.0,234.0,131.0,332.0,81.0,24.0,23.0,21.0,1,385,2024-02-21
FAC00001,2024-03,7545.0,449.0,150.0,112.0,117.0,81.0,23.0,21.0,15.0,5,392,2024-04-14
FAC00001,2024-04,7008.0,417.0,275.0,213.0,108.0,75.0,21.0,19.0,15.0,2,376,2024-05-02
FAC00001,2024-05,9211.0,548.0,260.0,225.0,143.0,99.0,28.0,24.0,22.0,2,379,2024-06-07
FAC00001,2024-06,,553.0,340.0,263.0,144.0,100.0,29.0,21.0,19.0,7,387,2024-07-06
FAC00002,2024-01,5918.0,99.0,48.0,,689.0,143.0,108.0,89.0,71.0,6,887,2024-02-09
FAC00002,2024-02,6923.0,116.0,68.0,50.0,806.0,167.0,114.0,110.0,,1,822,2024-03-09
FAC00002,2024-03,7033.0,118.0,65.0,,,170.0,128.0,,,5,865,2024-04-16
FAC00002,2024-04,6767.0,113.0,58.0,49.0,,163.0,,113.0,103.0,1,825,2024-05-10
FAC00002,2024-05,6428.0,107.0,37.0,24.0,748.0,155.0,93.0,87.0,63.0,1,849,2024-06-06
FAC00002,2024-06,5755.0,96.0,60.0,36.0,670.0,139.0,83.0,62.0,50.0,3,882,2024-07-08
FAC00003,2024-01,2699.0,206.0,100.0,71.0,480.0,331.0,362.0,19.0,13.0,1,1135,2024-02-12
FAC00003,2024-02,2938.0,224.0,246.0,118.0,523.0,360.0,27.0,24.0,21.0,1,1140,2024-03-09
FAC00003,2024-03,2994.0,228.0,124.0,76.0,533.0,367.0,27.0,26.0,22.0,4,1143,2024-04-07
FAC00003,2024-04,2784.0,212.0,82.0,54.0,495.0,341.0,24.0,22.0,16.0,5,1132,2024-05-31
FAC00003,2024-05,2875.0,219.0,101.0,53.0,512.0,352.0,26.0,18.0,14.0,3,1149,2024-06-19
FAC00003,2024-06,,213.0,130.0,101.0,499.0,343.0,26.0,24.0,20.0,1,1187,2024-06-29
FAC00004,2024-01,2345.0,412.0,145.0,,169.0,591.0,482.0,443.0,210.0,0,674,2024-02-03
FAC00004,2024-02,3017.0,530.0,200.0,169.0,217.0,761.0,590.0,546.0,258.0,0,681,2024-03-21
FAC00004,2024-03,2415.0,424.0,154.0,87.0,174.0,609.0,456.0,423.0,199.0,0,698,2024-04-07
FAC00004,2024-04,2663.0,468.0,168.0,125.0,192.0,672.0,497.0,447.0,217.0,0,698,2024-05-11
FAC00004,2024-05,2400.0,422.0,153.0,108.0,173.0,605.0,454.0,425.0,198.0,0,673,2024-06-10
FAC00004,2024-06,2614.0,459.0,173.0,90.0,188.0,659.0,423.0,330.0,223.0,0,708,2024-07-10
FAC00005,2024-01,5906.0,419.0,98.0,72.0,24.0,265.0,213.0,163.0,132.0,1,992,2024-02-09
FAC00005,2024-02,4916.0,348.0,77.0,62.0,20.0,220.0,189.0,166.0,137.0,1,966,2024-03-20
FAC00005,2024-03,6615.0,469.0,101.0,59.0,27.0,296.0,250.0,199.0,140.0,1,1050,2024-04-19
FAC00005,2024-04,5605.0,397.0,84.0,42.0,23.0,251.0,151.0,132.0,104.0,2,976,2024-05-15
FAC00005,2024-05,5845.0,414.0,89.0,57.0,,262.0,198.0,167.0,124.0,3,996,2024-06-22
FAC00005,2024-06,6717.0,476.0,106.0,93.0,27.0,301.0,,140.0,121.0,3,1048,2024-07-18
FAC00006,2024-01,9426.0,417.0,202.0,37.0,205.0,85.0,75.0,73.0,5.0,0,745,2024-02-03
FAC00006,2024-02,12105.0,535.0,271.0,45.0,263.0,110.0,71.0,50.0,7.0,1,742,2024-03-09
FAC00006,2024-03,9952.0,440.0,248.0,36.0,216.0,90.0,68.0,62.0,5.0,1,786,2024-04-12
FAC00006,2024-04,11909.0,527.0,293.0,42.0,259.0,108.0,,,6.0,3,715,2024-05-15
FAC00006,2024-05,,545.0,274.0,44.0,268.0,112.0,70.0,53.0,6.0,0,750,2024-06-04
FAC00006,2024-06,10933.0,484.0,241.0,,238.0,99.0,79.0,78.0,,2,756,2024-07-17
FAC00007,2024-01,7865.0,,184.0,96.0,310.0,311.0,207.0,153.0,122.0,0,359,2024-02-12
FAC00007,2024-02,8117.0,648.0,181.0,99.0,320.0,321.0,277.0,226.0,204.0,0,354,2024-03-14
FAC00007,2024-03,8582.0,685.0,185.0,137.0,338.0,339.0,226.0,215.0,,0,332,2024-04-07
FAC00007,2024-04,9170.0,732.0,195.0,156.0,361.0,363.0,278.0,240.0,173.0,0,339,2024-05-17
FAC00007,2024-05,6658.0,531.0,654.0,92.0,262.0,263.0,228.0,171.0,141.0,0,348,2024-06-10
FAC00007,2024-06,6941.0,554.0,155.0,134.0,273.0,274.0,173.0,160.0,151.0,0,358,2024-07-06
FAC00008,2024-01,6574.0,281.0,167.0,46.0,183.0,628.0,155.0,108.0,94.0,0,61,2024-02-07
FAC00008,2024-02,7567.0,324.0,146.0,50.0,481.0,722.0,171.0,160.0,131.0,0,60,2024-03-02
FAC00008,2024-03,8093.0,347.0,187.0,,226.0,773.0,176.0,162.0,115.0,0,66,2024-04-13
FAC00008,2024-04,8249.0,353.0,167.0,52.0,230.0,788.0,177.0,171.0,138.0,0,64,2024-05-27
FAC00008,2024-05,10451.0,448.0,193.0,67.0,596.0,998.0,228.0,201.0,154.0,0,62,2024-06-14
FAC00008,2024-06,8122.0,,205.0,54.0,226.0,775.0,183.0,142.0,123.0,0,62,2024-07-08
FAC00009,2024-01,279.0,560.0,312.0,140.0,695.0,509.0,70.0,59.0,43.0,0,424,2024-02-11
FAC00009,2024-02,281.0,565.0,353.0,135.0,701.0,513.0,68.0,55.0,44.0,0,444,2024-03-21
FAC00009,2024-03,241.0,484.0,292.0,111.0,600.0,439.0,56.0,48.0,40.0,0,423,2024-04-14
FAC00009,2024-04,302.0,607.0,218.0,111.0,753.0,551.0,69.0,64.0,60.0,0,440,2024-05-15
FAC00009,2024-05,263.0,529.0,227.0,122.0,656.0,480.0,61.0,56.0,41.0,0,456,2024-06-13
FAC00009,2024-06,284.0,570.0,271.0,,707.0,517.0,,54.0,47.0,0,458,2024-07-01
FAC00010,2024-01,,573.0,692.0,51.0,42.0,165.0,130.0,42.0,32.0,6,140,2024-01-30
FAC00010,2024-02,5737.0,469.0,210.0,40.0,34.0,135.0,158.0,33.0,24.0,3,144,2024-03-07
FAC00010,2024-03,7723.0,632.0,274.0,52.0,46.0,182.0,117.0,43.0,38.0,3,143,2024-03-30
FAC00010,2024-04,6874.0,563.0,241.0,46.0,41.0,162.0,130.0,37.0,28.0,3,150,2024-05-07
FAC00010,2024-05,7229.0,592.0,256.0,49.0,43.0,170.0,140.0,40.0,31.0,4,150,2024-06-08
FAC00010,2024-06,6134.0,502.0,225.0,43.0,37.0,145.0,98.0,35.0,25.0,3,146,2024-07-07
FAC00011,2024-01,3443.0,653.0,271.0,123.0,553.0,766.0,10.0,9.0,7.0,2,448,2024-02-10
FAC00011,2024-02,3607.0,684.0,270.0,123.0,579.0,802.0,10.0,8.0,6.0,6,444,2024-03-07
FAC00011,2024-03,2772.0,525.0,201.0,91.0,445.0,616.0,7.0,6.0,5.0,2,462,2024-04-18
FAC00011,2024-04,2896.0,549.0,207.0,94.0,465.0,644.0,,7.0,5.0,4,447,2024-05-09
FAC00011,2024-05,2834.0,537.0,205.0,93.0,455.0,630.0,8.0,6.0,4.0,1,438,2024-06-15
FAC00011,2024-06,3477.0,659.0,261.0,118.0,558.0,773.0,10.0,7.0,6.0,2,445,2024-07-14
FAC00012,2024-01,379.0,22.0,15.0,9.0,439.0,654.0,435.0,229.0,191.0,3,138,2024-02-03
FAC00012,2024-01,379.0,22.0,15.0,9.0,427.0,654.0,435.0,229.0,191.0,3,138,2024-02-03
FAC00012,2024-02,,21.0,8.0,6.0,422.0,1785.0,407.0,209.0,186.0,5,143,2024-03-04
FAC00012,2024-03,380.0,22.0,9.0,5.0,440.0,656.0,499.0,211.0,189.0,5,147,2024-03-27
FAC00012,2024-04,491.0,29.0,9.0,5.0,568.0,847.0,578.0,269.0,254.0,2,151,2024-05-07
FAC00012,2024-05,462.0,27.0,15.0,9.0,535.0,798.0,482.0,257.0,196.0,5,150,2024-06-04
FAC00012,2024-06,468.0,27.0,17.0,,542.0,808.0,547.0,269.0,236.0,0,146,2024-07-03
FAC00013,2024-01,6977.0,554.0,263.0,229.0,745.0,201.0,153.0,44.0,37.0,3,1144,2024-02-12
FAC00013,2024-02,7645.0,607.0,207.0,166.0,816.0,221.0,159.0,46.0,35.0,1,1109,2024-03-17
FAC00013,2024-03,7949.0,631.0,276.0,149.0,848.0,230.0,165.0,47.0,38.0,2,1198,2024-04-12
FAC00013,2024-04,6081.0,483.0,208.0,154.0,649.0,176.0,118.0,35.0,27.0,1,1212,2024-05-08
FAC00013,2024-05,7827.0,,237.0,166.0,835.0,226.0,164.0,46.0,41.0,0,1156,2024-06-15
FAC00013,2024-06,7752.0,615.0,200.0,,827.0,,139.0,47.0,42.0,3,1126,2024-07-23
FAC00014,2024-01,6856.0,658.0,195.0,54.0,653.0,734.0,35.0,31.0,27.0,1,248,2024-02-18
FAC00014,2024-02,7247.0,695.0,196.0,55.0,690.0,,,32.0,,4,243,2024-03-13
FAC00014,2024-03,7702.0,739.0,201.0,56.0,,825.0,37.0,36.0,32.0,3,229,2024-04-19
FAC00014,2024-04,7061.0,677.0,182.0,51.0,673.0,756.0,33.0,32.0,28.0,3,241,2024-05-24
FAC00014,2024-05,7039.0,675.0,184.0,51.0,671.0,754.0,33.0,29.0,21.0,4,227,2024-06-23
FAC00014,2024-06,6829.0,655.0,,52.0,651.0,731.0,34.0,25.0,22.0,3,248,2024-07-18
FAC00015,2024-01,9028.0,468.0,282.0,250.0,763.0,757.0,312.0,244.0,219.0,1,679,2024-02-03
FAC00015,2024-02,6639.0,344.0,166.0,103.0,561.0,557.0,219.0,157.0,126.0,3,717,2024-03-17
FAC00015,2024-03,9739.0,505.0,186.0,135.0,823.0,817.0,310.0,262.0,225.0,1,689,2024-04-15
FAC00015,2024-04,7409.0,,249.0,149.0,626.0,621.0,233.0,163.0,149.0,3,695,2024-05-06
FAC00015,2024-05,6700.0,,132.0,83.0,566.0,562.0,213.0,188.0,174.0,2,665,2024-06-16
FAC00015,2024-06,7612.0,395.0,128.0,64.0,643.0,638.0,,215.0,192.0,1,665,2024-07-24
FAC00016,2024-01,3836.0,194.0,92.0,55.0,576.0,559.0,314.0,298.0,278.0,0,1148,2024-02-04
FAC00016,2024-02,5588.0,283.0,186.0,160.0,839.0,815.0,436.0,395.0,303.0,0,1149,2024-03-22
FAC00016,2024-03,5146.0,261.0,146.0,125.0,,750.0,388.0,309.0,217.0,0,1224,2024-03-28
FAC00016,2024-04,4166.0,211.0,121.0,82.0,625.0,607.0,310.0,274.0,209.0,0,1195,2024-05-04
FAC00016,2024-05,4247.0,215.0,144.0,111.0,638.0,619.0,320.0,227.0,185.0,0,1175,2024-06-07
FAC00016,2024-06,5184.0,262.0,286.0,77.0,778.0,756.0,404.0,304.0,224.0,0,1224,2024-07-05
FAC00017,2024-01,2326.0,573.0,,,588.0,447.0,326.0,132.0,122.0,0,976,2024-02-21
FAC00017,2024-02,1828.0,450.0,47.0,26.0,462.0,351.0,,99.0,76.0,0,1005,2024-03-17
FAC00017,2024-03,2159.0,532.0,54.0,27.0,545.0,415.0,454.0,113.0,79.0,0,1009,2024-04-09
FAC00017,2024-04,2593.0,639.0,64.0,37.0,655.0,498.0,,134.0,110.0,0,995,2024-05-04
FAC00017,2024-05,2583.0,636.0,64.0,37.0,653.0,497.0,359.0,135.0,117.0,0,1033,2024-05-31
FAC00017,2024-06,2211.0,544.0,57.0,33.0,1257.0,425.0,374.0,120.0,108.0,0,1006,2024-06-27
FAC00018,2024-02,808.0,109.0,5.0,3.0,206.0,517.0,196.0,156.0,134.0,1,1142,2024-03-18
FAC00018,2024-03,845.0,114.0,5.0,3.0,215.0,541.0,198.0,,137.0,2,1165,2024-04-07
FAC00018,2024-04,840.0,114.0,5.0,4.0,214.0,1265.0,194.0,164.0,127.0,2,1103,2024-05-19
FAC00018,2024-05,1169.0,158.0,7.0,5.0,298.0,748.0,274.0,216.0,172.0,2,1084,2024-05-24
FAC00018,2024-06,975.0,132.0,6.0,3.0,248.0,624.0,236.0,172.0,145.0,1,1141,2024-07-07
FAC00019,2024-01,2061.0,459.0,198.0,152.0,484.0,229.0,164.0,137.0,,3,940,2024-02-07
FAC00019,2024-02,2121.0,472.0,265.0,148.0,498.0,235.0,174.0,134.0,113.0,2,922,2024-03-12
FAC00019,2024-03,1724.0,384.0,452.0,141.0,405.0,191.0,156.0,105.0,80.0,4,953,2024-04-19
FAC00019,2024-04,2049.0,456.0,145.0,120.0,481.0,227.0,183.0,124.0,97.0,9,906,2024-05-07
FAC00019,2024-05,1709.0,380.0,124.0,90.0,401.0,190.0,146.0,104.0,87.0,2,890,2024-06-10
FAC00019,2024-06,1605.0,357.0,201.0,152.0,377.0,178.0,128.0,101.0,81.0,1,902,2024-07-09
FAC00020,2024-01,7655.0,198.0,91.0,81.0,146.0,593.0,196.0,122.0,95.0,6,722,2024-02-14
FAC00020,2024-02,8690.0,225.0,119.0,67.0,166.0,673.0,212.0,132.0,111.0,2,698,2024-03-18
FAC00020,2024-03,8569.0,222.0,74.0,55.0,164.0,663.0,202.0,126.0,104.0,2,734,2024-04-14
FAC00020,2024-04,7770.0,201.0,83.0,54.0,149.0,602.0,181.0,113.0,97.0,3,684,2024-05-19
FAC00020,2024-05,8358.0,216.0,82.0,73.0,160.0,647.0,197.0,123.0,95.0,6,725,2024-06-19
FAC00020,2024-06,6909.0,179.0,88.0,47.0,132.0,535.0,169.0,105.0,94.0,6,740,2024-07-19
FAC00021,2024-01,3460.0,473.0,173.0,90.0,180.0,827.0,566.0,476.0,434.0,1,951,2024-02-22
FAC00021,2024-02,3388.0,463.0,255.0,155.0,176.0,810.0,969.0,518.0,401.0,1,887,2024-03-07
FAC00021,2024-03,2953.0,404.0,242.0,136.0,153.0,706.0,445.0,391.0,371.0,2,879,2024-04-26
FAC00021,2024-04,3967.0,,213.0,111.0,206.0,948.0,590.0,419.0,,1,915,2024-05-18
FAC00021,2024-05,3700.0,506.0,151.0,94.0,192.0,884.0,557.0,428.0,306.0,0,926,2024-06-10
FAC00021,2024-06,3567.0,488.0,252.0,133.0,186.0,853.0,994.0,430.0,393.0,0,953,2024-07-08
FAC00022,2024-01,4765.0,465.0,146.0,89.0,598.0,262.0,142.0,140.0,110.0,0,887,2024-02-16
FAC00022,2024-02,5464.0,533.0,163.0,91.0,686.0,301.0,156.0,,116.0,0,895,2024-03-07
FAC00022,2024-03,4463.0,435.0,128.0,79.0,560.0,245.0,123.0,119.0,83.0,0,928,2024-04-20
FAC00022,2024-04,6256.0,610.0,178.0,107.0,785.0,344.0,170.0,130.0,115.0,0,968,2024-05-12
FAC00022,2024-05,5736.0,560.0,165.0,131.0,720.0,316.0,158.0,140.0,,0,953,2024-06-15
FAC00022,2024-06,4648.0,453.0,139.0,116.0,583.0,256.0,132.0,98.0,86.0,0,939,2024-07-14
FAC00023,2024-01,2434.0,338.0,173.0,130.0,500.0,49.0,32.0,14.0,9.0,3,859,2024-02-07
FAC00023,2024-02,2518.0,350.0,192.0,142.0,517.0,51.0,38.0,13.0,10.0,1,891,2024-03-09
FAC00023,2024-03,2461.0,342.0,186.0,,505.0,50.0,37.0,,9.0,0,894,2024-04-15
FAC00023,2024-04,2291.0,318.0,108.0,69.0,470.0,46.0,28.0,12.0,11.0,4,876,2024-05-10
FAC00023,2024-05,2866.0,398.0,211.0,116.0,,58.0,44.0,15.0,12.0,4,848,2024-06-17
FAC00023,2024-06,1909.0,265.0,83.0,56.0,392.0,39.0,32.0,10.0,7.0,4,902,2024-07-15
FAC00024,2024-01,2390.0,136.0,88.0,50.0,125.0,664.0,587.0,449.0,,5,146,2024-02-17
FAC00024,2024-02,2496.0,142.0,71.0,56.0,131.0,693.0,564.0,493.0,443.0,5,146,2024-03-06
FAC00024,2024-03,2489.0,,95.0,54.0,,,589.0,498.0,370.0,4,146,2024-04-14
FAC00024,2024-04,2523.0,143.0,78.0,54.0,132.0,700.0,590.0,503.0,409.0,2,154,2024-05-16
FAC00024,2024-06,2526.0,144.0,83.0,56.0,132.0,701.0,619.0,486.0,405.0,2,160,2024-07-19
FAC00025,2024-01,7740.0,211.0,82.0,57.0,145.0,310.0,149.0,104.0,89.0,5,855,2024-02-08
FAC00025,2024-02,8407.0,229.0,107.0,67.0,157.0,337.0,154.0,122.0,115.0,4,865,2024-03-06
FAC00025,2024-03,8603.0,234.0,92.0,53.0,161.0,345.0,152.0,138.0,104.0,5,813,2024-04-15
FAC00025,2024-04,8464.0,231.0,103.0,76.0,158.0,339.0,148.0,110.0,97.0,3,856,2024-05-16
FAC00025,2024-05,7943.0,216.0,98.0,81.0,148.0,318.0,141.0,126.0,102.0,1,861,2024-06-07
FAC00025,2024-06,10685.0,291.0,136.0,113.0,414.0,428.0,196.0,143.0,126.0,4,831,2024-07-05
FAC00026,2024-01,4624.0,281.0,172.0,151.0,395.0,141.0,96.0,78.0,72.0,0,725,2024-02-02
FAC00026,2024-02,4635.0,282.0,134.0,103.0,396.0,142.0,99.0,76.0,65.0,0,701,2024-03-10
FAC00026,2024-03,6108.0,372.0,255.0,172.0,521.0,187.0,126.0,119.0,104.0,0,750,2024-04-06
FAC00026,2024-04,4563.0,278.0,171.0,138.0,389.0,140.0,167.0,,58.0,0,735,2024-05-08
FAC00026,2024-05,4480.0,273.0,185.0,107.0,382.0,137.0,107.0,82.0,68.0,0,750,2024-06-04
FAC00026,2024-06,,242.0,82.0,46.0,339.0,122.0,88.0,75.0,55.0,0,731,2024-07-05
FAC00027,2024-01,4259.0,429.0,235.0,23.0,,608.0,,28.0,19.0,1,478,2024-02-09
FAC00027,2024-02,5968.0,601.0,263.0,31.0,952.0,852.0,50.0,42.0,31.0,2,467,2024-03-07
FAC00027,2024-03,4397.0,442.0,,22.0,701.0,627.0,35.0,31.0,28.0,1,506,2024-04-11
FAC00027,2024-04,5095.0,513.0,,,,727.0,40.0,36.0,26.0,3,471,2024-05-09
FAC00027,2024-05,5620.0,566.0,309.0,28.0,897.0,802.0,45.0,34.0,30.0,3,506,2024-06-07
FAC00027,2024-06,4003.0,403.0,187.0,20.0,639.0,571.0,33.0,23.0,18.0,1,511,2024-06-27
FAC00028,2024-01,6396.0,306.0,32.0,17.0,300.0,648.0,302.0,224.0,185.0,0,828,2024-02-15
FAC00028,2024-02,7560.0,362.0,36.0,,354.0,766.0,340.0,306.0,223.0,3,868,2024-03-11
FAC00028,2024-04,7824.0,374.0,36.0,19.0,367.0,793.0,336.0,245.0,172.0,4,845,2024-05-22
FAC00028,2024-05,5445.0,260.0,25.0,18.0,255.0,552.0,236.0,216.0,200.0,6,889,2024-06-11
FAC00028,2024-06,7539.0,361.0,36.0,,353.0,764.0,339.0,320.0,278.0,3,846,2024-07-16
FAC00029,2024-01,6669.0,470.0,165.0,44.0,440.0,21.0,13.0,12.0,8.0,4,1158,2024-02-22
FAC00029,2024-02,9678.0,682.0,208.0,61.0,639.0,31.0,26.0,18.0,14.0,4,1094,2024-03-08
FAC00029,2024-03,7173.0,505.0,164.0,44.0,474.0,23.0,13.0,12.0,9.0,6,1162,2024-04-17
FAC00029,2024-05,,576.0,186.0,50.0,,26.0,18.0,14.0,11.0,4,1109,2024-06-20
FAC00029,2024-06,8842.0,623.0,209.0,56.0,584.0,29.0,24.0,23.0,20.0,6,1106,2024-07-12
FAC00030,2024-01,3649.0,527.0,103.0,66.0,4472.0,46.0,35.0,33.0,30.0,4,660,2024-02-17
FAC00030,2024-02,3221.0,465.0,86.0,64.0,666.0,40.0,33.0,,28.0,4,623,2024-03-16
FAC00030,2024-03,4240.0,613.0,110.0,86.0,877.0,53.0,41.0,40.0,28.0,2,665,2024-04-15
FAC00030,2024-04,3244.0,469.0,83.0,51.0,671.0,40.0,32.0,24.0,18.0,2,681,2024-05-17
FAC00030,2024-05,4679.0,,121.0,94.0,968.0,59.0,48.0,37.0,31.0,3,651,2024-06-13
FAC00030,2024-06,3898.0,563.0,104.0,83.0,806.0,49.0,38.0,32.0,28.0,5,640,2024-07-05
FAC00031,2024-01,3072.0,113.0,49.0,42.0,154.0,241.0,159.0,120.0,20.0,0,589,2024-02-15
FAC00031,2024-02,3713.0,137.0,94.0,,187.0,291.0,203.0,138.0,23.0,0,627,2024-03-20
FAC00031,2024-03,3890.0,144.0,62.0,49.0,196.0,305.0,233.0,140.0,23.0,0,623,2024-04-26
FAC00031,2024-04,4106.0,152.0,100.0,67.0,207.0,322.0,246.0,146.0,24.0,0,616,2024-05-19
FAC00031,2024-05,29032.0,124.0,40.0,25.0,168.0,263.0,216.0,120.0,20.0,0,618,2024-06-10
FAC00031,2024-06,3568.0,132.0,47.0,24.0,,280.0,229.0,133.0,22.0,0,633,2024-07-07
FAC00032,2024-02,817.0,352.0,162.0,,674.0,315.0,253.0,192.0,160.0,1,815,2024-03-24
FAC00032,2024-03,,356.0,191.0,163.0,681.0,318.0,275.0,254.0,157.0,2,838,2024-04-15
FAC00032,2024-04,922.0,398.0,137.0,96.0,761.0,356.0,276.0,207.0,173.0,0,807,2024-05-26
FAC00032,2024-05,810.0,350.0,182.0,134.0,669.0,313.0,213.0,174.0,154.0,3,820,2024-06-09
FAC00032,2024-06,861.0,371.0,231.0,162.0,711.0,332.0,204.0,175.0,163.0,3,856,2024-07-07
FAC00033,2024-01,7665.0,371.0,186.0,122.0,170.0,44.0,37.0,30.0,23.0,2,970,2024-02-22
FAC00033,2024-02,8660.0,419.0,243.0,124.0,193.0,50.0,30.0,21.0,17.0,1,1012,2024-03-26
FAC00033,2024-03,10468.0,507.0,166.0,86.0,233.0,60.0,52.0,46.0,36.0,3,1000,2024-04-16
FAC00033,2024-04,9263.0,448.0,135.0,71.0,206.0,53.0,36.0,34.0,25.0,3,1009,2024-05-27
FAC00033,2024-04,9263.0,448.0,135.0,71.0,214.0,53.0,36.0,34.0,25.0,3,1009,2024-05-27
FAC00033,2024-05,7815.0,378.0,170.0,109.0,174.0,45.0,28.0,25.0,20.0,2,967,2024-06-23
FAC00033,2024-06,9881.0,478.0,162.0,124.0,220.0,,38.0,26.0,19.0,2,925,2024-07-18
FAC00034,2024-01,8936.0,516.0,158.0,137.0,45.0,695.0,24.0,21.0,18.0,2,537,2024-02-24
FAC00034,2024-03,8608.0,497.0,309.0,161.0,43.0,670.0,21.0,20.0,16.0,0,507,2024-04-15
FAC00034,2024-04,10451.0,603.0,308.0,273.0,52.0,813.0,867.0,19.0,13.0,3,510,2024-05-13
FAC00034,2024-05,10293.0,594.0,290.0,211.0,51.0,801.0,25.0,22.0,18.0,2,509,2024-06-16
FAC00034,2024-06,8824.0,509.0,173.0,153.0,44.0,686.0,22.0,18.0,14.0,2,510,2024-07-27
FAC00035,2024-01,8767.0,92.0,45.0,30.0,675.0,55.0,45.0,37.0,34.0,5,191,2024-02-23
FAC00035,2024-02,11158.0,117.0,36.0,26.0,859.0,70.0,56.0,53.0,37.0,3,197,2024-03-15
FAC00035,2024-03,8921.0,94.0,29.0,15.0,686.0,56.0,44.0,36.0,32.0,3,206,2024-04-16
FAC00035,2024-04,11413.0,120.0,59.0,38.0,878.0,71.0,45.0,37.0,33.0,1,202,2024-05-21
FAC00035,2024-05,12138.0,,48.0,42.0,934.0,76.0,48.0,40.0,36.0,3,201,2024-06-13
FAC00035,2024-06,10112.0,,44.0,29.0,778.0,63.0,,33.0,24.0,5,205,2024-07-20
